resultId,season,round,driverId,constructorId,grid,position,positionText,points,laps,status,time,fastestLapTime,fastestLapRank,fastestLapSpeed
465,2024,24,max_verstappen,red_bull,4,6,6,8.00,58,Finished,+49.847,1:27.765,6,216.619
466,2024,24,gasly,alpine,5,7,7,6.00,58,Finished,+1:12.560,1:29.251,16,213.012
467,2024,24,hulkenberg,haas,7,8,8,4.00,58,Finished,+1:15.554,1:29.152,14,213.249
468,2024,24,alonso,aston_martin,8,9,9,2.00,58,Finished,+1:22.373,1:27.948,7,216.168
469,2024,24,piastri,mclaren,2,10,10,1.00,58,Finished,+1:23.821,1:27.690,4,216.804
470,2024,24,albon,williams,18,11,11,0.00,57,Lapped,+11.251,1:29.438,18,212.567
471,2024,24,tsunoda,rb,11,12,12,0.00,57,Lapped,+14.738,1:29.200,15,213.134
472,2024,24,zhou,sauber,15,13,13,0.00,57,Lapped,+17.304,1:27.982,8,216.085
473,2024,24,stroll,aston_martin,13,14,14,0.00,57,Lapped,+18.473,1:28.604,11,214.568
474,2024,24,doohan,alpine,17,15,15,0.00,57,Lapped,+26.555,1:29.121,13,213.323
475,2024,24,kevin_magnussen,haas,14,16,16,0.00,57,Lapped,+1:17.597,1:25.637,1,222.002
476,2024,24,lawson,rb,12,17,17,0.00,55,Retired,,1:28.751,12,214.212
477,2024,24,bottas,sauber,9,18,R,0.00,30,Retired,,1:29.482,19,212.462
478,2024,24,colapinto,williams,20,19,R,0.00,26,Retired,,1:29.411,17,212.631
479,2024,24,perez,red_bull,10,20,R,0.00,0,Retired,,,NULL,
480,2025,1,norris,mclaren,1,1,1,25.00,57,Finished,1:42:06.304,1:22.167,1,
481,2025,1,max_verstappen,red_bull,3,2,2,18.00,57,Finished,+0.895,1:23.081,3,
482,2025,1,russell,mercedes,4,3,3,15.00,57,Finished,+8.481,1:25.065,11,
483,2025,1,antonelli,mercedes,16,4,4,12.00,57,Finished,+10.135,1:24.901,9,
484,2025,1,albon,williams,6,5,5,10.00,57,Finished,+12.773,1:24.597,8,
485,2025,1,stroll,aston_martin,13,6,6,8.00,57,Finished,+17.413,1:25.538,14,
486,2025,1,hulkenberg,sauber,17,7,7,6.00,57,Finished,+18.423,1:25.243,12,
487,2025,1,leclerc,ferrari,7,8,8,4.00,57,Finished,+19.826,1:25.271,13,
488,2025,1,piastri,mclaren,2,9,9,2.00,57,Finished,+20.448,1:23.242,4,
489,2025,1,hamilton,ferrari,8,10,10,1.00,57,Finished,+22.473,1:24.218,7,
490,2025,1,gasly,alpine,9,11,11,0.00,57,Finished,+26.502,1:25.020,10,
491,2025,1,tsunoda,rb,5,12,12,0.00,57,Finished,+29.884,1:24.194,6,
